symbol,vector_catalog_number,fusion_name,vector_url,tracer_id,concentration,synapse_link,tracer_catalog_number,tracer_catalog_URL
NEK5,Special Request,NanoLuc®-fused NEK5,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.0625 µM,https://www.synapse.org/#!Synapse:syn20715309,"NA","NA"
PHKG1,Special Request,NanoLuc®-fused PHKG1,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn20715295,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
STK3,Special Request,NanoLuc®-fused STK3,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,1 µM,https://www.synapse.org/#!Synapse:syn20715294,"NA","NA"
STK32A,Special Request,NanoLuc®-fused STK32A,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,9-7520,0.5 µM,https://www.synapse.org/#!Synapse:syn20715293,"NA","NA"
STK32B,Special Request,NanoLuc®-fused STK32B,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,0.5 µM,https://www.synapse.org/#!Synapse:syn20715292,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
STK38L,Special Request,NanoLuc®-fused STK38L,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.5 µM,https://www.synapse.org/#!Synapse:syn20715291,"NA","NA"
DYRK3,Special Request,NanoLuc®-fused DYRK3,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn21519482,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
ERN2,Special Request,NanoLuc®-fused ERN2,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.5 µM,https://www.synapse.org/#!Synapse:syn21519483,"NA","NA"
MAP3K21,Special Request,NanoLuc®-fused MAP3K21,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.5 µM,https://www.synapse.org/#!Synapse:syn21519484,"NA","NA"
COQ8B,Special Request,NanoLuc®-fused COQ8B,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.5 µM,https://www.synapse.org/#!Synapse:syn21519486,"NA","NA"
